SARPP Regional price parities by state
SARPP Regional price parities by state
State or DC
GeoFIPS,GeoName,LineCode,Description,2024
49000,Utah,2,"  RPPs: Goods",96.446
49000,Utah,3,"  RPPs: Services: Housing",107.814
49000,Utah,4,"  RPPs: Services: Utilities",78.739
49000,Utah,5,"  RPPs: Services: Other",98.959
50000,Vermont,1,RPPs: All items,97.958
50000,Vermont,2,"  RPPs: Goods",97.274
50000,Vermont,3,"  RPPs: Services: Housing",86.502
50000,Vermont,4,"  RPPs: Services: Utilities",125.833
50000,Vermont,5,"  RPPs: Services: Other",101.586
51000,Virginia,1,RPPs: All items,101.104
51000,Virginia,2,"  RPPs: Goods",100.368
51000,Virginia,3,"  RPPs: Services: Housing",106.799
51000,Virginia,4,"  RPPs: Services: Utilities",92.185
51000,Virginia,5,"  RPPs: Services: Other",100.233
53000,Washington,1,RPPs: All items,107.013
53000,Washington,2,"  RPPs: Goods",104.359
53000,Washington,3,"  RPPs: Services: Housing",125.979
53000,Washington,4,"  RPPs: Services: Utilities",92.860
53000,Washington,5,"  RPPs: Services: Other",103.873
54000,West Virginia,1,RPPs: All items,89.497
54000,West Virginia,2,"  RPPs: Goods",96.539
54000,West Virginia,3,"  RPPs: Services: Housing",54.241
54000,West Virginia,4,"  RPPs: Services: Utilities",92.242
54000,West Virginia,5,"  RPPs: Services: Other",99.940
55000,Wisconsin,1,RPPs: All items,94.095
55000,Wisconsin,2,"  RPPs: Goods",94.310
55000,Wisconsin,3,"  RPPs: Services: Housing",79.312
55000,Wisconsin,4,"  RPPs: Services: Utilities",89.906
55000,Wisconsin,5,"  RPPs: Services: Other",99.501
56000,Wyoming,1,RPPs: All items,92.691
56000,Wyoming,2,"  RPPs: Goods",95.368
56000,Wyoming,3,"  RPPs: Services: Housing",71.127
56000,Wyoming,4,"  RPPs: Services: Utilities",78.422
56000,Wyoming,5,"  RPPs: Services: Other",100.428

Legend/Footnotes
"  Last updated: February 19, 2026-- new statistics for 2024; revised statistics for 2008-2023."
